model,experiment,sample_index,datetime,actual,predicted,residual,absolute_error,squared_error,percentage_error,timestamp,param_bagging_temperature,param_depth,param_iterations,param_l2_leaf_reg,param_learning_rate,param_random_strength,param_subsample,info_mae,info_rmse,info_r2
catboost,no_wsi_wind,1064,2024-12-03 02:00:00,20606.25,21907.6661878541,1301.4161878541015,1301.4161878541015,1693684.0940087026,6.315638157614655,2025-11-27 20:33:21,0.8414796448896724,5,1900,5.874877449515296,0.2003204975785143,8.90949992120902,0.7289066319326285,3702.318570034582,4638.310025680467,0.8702683559592058
catboost,no_wsi_wind,1065,2024-12-03 03:00:00,20385.0,20679.96867256084,294.9686725608408,294.9686725608408,87006.51779230451,1.44698882786704,2025-11-27 20:33:21,0.8414796448896724,5,1900,5.874877449515296,0.2003204975785143,8.90949992120902,0.7289066319326285,3702.318570034582,4638.310025680467,0.8702683559592058
catboost,no_wsi_wind,1066,2024-12-03 04:00:00,21411.75,20388.11299222361,-1023.637007776386,1023.637007776386,1047832.7236893928,4.780725572528671,2025-11-27 20:33:21,0.8414796448896724,5,1900,5.874877449515296,0.2003204975785143,8.90949992120902,0.7289066319326285,3702.318570034582,4638.310025680467,0.8702683559592058
catboost,no_wsi_wind,1067,2024-12-03 05:00:00,21427.5,19494.77805667356,-1932.72194332644,1932.72194332644,3735414.1102155303,9.019820059855505,2025-11-27 20:33:21,0.8414796448896724,5,1900,5.874877449515296,0.2003204975785143,8.90949992120902,0.7289066319326285,3702.318570034582,4638.310025680467,0.8702683559592058
catboost,no_wsi_wind,1068,2024-12-03 06:00:00,21115.25,19076.861062599903,-2038.3889374000937,2038.3889374000937,4155029.460115083,9.653633925239475,2025-11-27 20:33:21,0.8414796448896724,5,1900,5.874877449515296,0.2003204975785143,8.90949992120902,0.7289066319326285,3702.318570034582,4638.310025680467,0.8702683559592058
catboost,no_wsi_wind,1069,2024-12-03 07:00:00,20195.25,15809.240817596436,-4386.009182403564,4386.009182403564,19237076.548128385,21.718023705581224,2025-11-27 20:33:21,0.8414796448896724,5,1900,5.874877449515296,0.2003204975785143,8.90949992120902,0.7289066319326285,3702.318570034582,4638.310025680467,0.8702683559592058
catboost,no_wsi_wind,1070,2024-12-03 08:00:00,18364.75,14606.7817626163,-3757.968237383701,3757.968237383701,14122325.273184756,20.46294252511825,2025-11-27 20:33:21,0.8414796448896724,5,1900,5.874877449515296,0.2003204975785143,8.90949992120902,0.7289066319326285,3702.318570034582,4638.310025680467,0.8702683559592058
catboost,no_wsi_wind,1071,2024-12-03 09:00:00,16855.5,18047.740846115128,1192.240846115128,1192.240846115128,1421438.2351453165,7.073304536290355,2025-11-27 20:33:21,0.8414796448896724,5,1900,5.874877449515296,0.2003204975785143,8.90949992120902,0.7289066319326285,3702.318570034582,4638.310025680467,0.8702683559592058
catboost,no_wsi_wind,1072,2024-12-03 10:00:00,15976.75,17053.017633597134,1076.2676335971337,1076.2676335971337,1158352.019128774,6.73646163078511,2025-11-27 20:33:21,0.8414796448896724,5,1900,5.874877449515296,0.2003204975785143,8.90949992120902,0.7289066319326285,3702.318570034582,4638.310025680467,0.8702683559592058
catboost,no_wsi_wind,1073,2024-12-03 11:00:00,15189.25,18102.35714695389,2913.1071469538947,2913.1071469538947,8486193.24963386,19.178742511657763,2025-11-27 20:33:21,0.8414796448896724,5,1900,5.874877449515296,0.2003204975785143,8.90949992120902,0.7289066319326285,3702.318570034582,4638.310025680467,0.8702683559592058
catboost,no_wsi_wind,1074,2024-12-03 12:00:00,14334.0,16340.352331785756,2006.352331785756,2006.352331785756,4025449.679262141,13.997155935428744,2025-11-27 20:33:21,0.8414796448896724,5,1900,5.874877449515296,0.2003204975785143,8.90949992120902,0.7289066319326285,3702.318570034582,4638.310025680467,0.8702683559592058
