model,experiment,sample_index,datetime,actual,predicted,residual,absolute_error,squared_error,percentage_error,timestamp,param_max_depth,param_min_samples_leaf,param_min_samples_split,param_n_estimators,info_mae,info_rmse,info_r2
random_forest,no_wsi_solar,1576,2024-12-24 10:00:00,7333.25,5151.456073412697,-2181.793926587303,2181.793926587303,4760224.738093241,29.75207345425736,2025-11-27 21:44:00,,2,5,200,1129.7325001171655,2327.868422090092,0.6885653904005455
random_forest,no_wsi_solar,1577,2024-12-24 11:00:00,6187.75,5192.190501984127,-995.559498015873,995.559498015873,991138.7140896172,16.0892004042546,2025-11-27 21:44:00,,2,5,200,1129.7325001171655,2327.868422090092,0.6885653904005455
random_forest,no_wsi_solar,1578,2024-12-24 12:00:00,3832.5,5095.828890873015,1263.3288908730146,1263.3288908730146,1595999.886514441,32.9635718426541,2025-11-27 21:44:00,,2,5,200,1129.7325001171655,2327.868422090092,0.6885653904005455
random_forest,no_wsi_solar,1579,2024-12-24 13:00:00,1186.75,2208.4913766233776,1021.7413766233776,1021.7413766233776,1043955.4407042348,86.09575534988566,2025-11-27 21:44:00,,2,5,200,1129.7325001171655,2327.868422090092,0.6885653904005455
random_forest,no_wsi_solar,1580,2024-12-24 14:00:00,45.25,350.9200753968253,305.6700753968253,305.6700753968253,93434.19499310089,675.5139786282297,2025-11-27 21:44:00,,2,5,200,1129.7325001171655,2327.868422090092,0.6885653904005455
random_forest,no_wsi_solar,1581,2024-12-24 15:00:00,10.5,30.61913803210677,20.11913803210677,20.11913803210677,404.7797151549652,191.61083821853035,2025-11-27 21:44:00,,2,5,200,1129.7325001171655,2327.868422090092,0.6885653904005455
random_forest,no_wsi_solar,1582,2024-12-24 16:00:00,12.5,6.7985873015873,-5.7014126984127,5.7014126984127,32.50610675762158,45.61130155081256,2025-11-27 21:44:00,,2,5,200,1129.7325001171655,2327.868422090092,0.6885653904005455
random_forest,no_wsi_solar,1583,2024-12-24 17:00:00,8.75,4.605828373015873,-4.144171626984127,4.144171626984127,17.174158473900267,47.36196139711921,2025-11-27 21:44:00,,2,5,200,1129.7325001171655,2327.868422090092,0.6885653904005455
random_forest,no_wsi_solar,1584,2024-12-24 18:00:00,7.0,4.522241657647908,-2.477758342352092,2.477758342352092,6.139286403095388,35.396547697320536,2025-11-27 21:44:00,,2,5,200,1129.7325001171655,2327.868422090092,0.6885653904005455
random_forest,no_wsi_solar,1585,2024-12-24 19:00:00,6.75,3.694987238455989,-3.0550127615440115,3.0550127615440115,9.333102973196768,45.25944825211951,2025-11-27 21:44:00,,2,5,200,1129.7325001171655,2327.868422090092,0.6885653904005455
random_forest,no_wsi_solar,1586,2024-12-24 20:00:00,7.5,3.404192595598845,-4.095807404401155,4.095807404401155,16.775638293947328,54.61076531920105,2025-11-27 21:44:00,,2,5,200,1129.7325001171655,2327.868422090092,0.6885653904005455
random_forest,no_wsi_solar,1587,2024-12-24 21:00:00,6.75,3.2371934523809527,-3.5128065476190478,3.5128065476190478,12.33980984099525,52.04157840614651,2025-11-27 21:44:00,,2,5,200,1129.7325001171655,2327.868422090092,0.6885653904005455
random_forest,no_wsi_solar,1588,2024-12-24 22:00:00,6.0,3.225855654761905,-2.774144345238095,2.774144345238095,7.6958768482165,46.23573901024202,2025-11-27 21:44:00,,2,5,200,1129.7325001171655,2327.868422090092,0.6885653904005455
random_forest,no_wsi_solar,1589,2024-12-24 23:00:00,6.0,3.1927301587301584,-2.8072698412698416,2.8072698412698416,7.8807639617032015,46.78783060985098,2025-11-27 21:44:00,,2,5,200,1129.7325001171655,2327.868422090092,0.6885653904005455
random_forest,no_wsi_solar,1590,2024-12-25 00:00:00,6.0,3.1501894841269844,-2.849810515873016,2.849810515873016,8.121419976380423,47.496841852055525,2025-11-27 21:44:00,,2,5,200,1129.7325001171655,2327.868422090092,0.6885653904005455
random_forest,no_wsi_solar,1591,2024-12-25 01:00:00,6.0,3.181520833333333,-2.818479166666667,2.818479166666667,7.9438248129340305,46.9746526994867,2025-11-27 21:44:00,,2,5,200,1129.7325001171655,2327.868422090092,0.6885653904005455
random_forest,no_wsi_solar,1592,2024-12-25 02:00:00,6.0,3.086063221500721,-2.913936778499279,2.913936778499279,8.491027549090756,48.565612894045294,2025-11-27 21:44:00,,2,5,200,1129.7325001171655,2327.868422090092,0.6885653904005455
random_forest,no_wsi_solar,1593,2024-12-25 03:00:00,6.0,3.193322916666668,-2.8066770833333323,2.8066770833333323,7.877436250108501,46.77795131092562,2025-11-27 21:44:00,,2,5,200,1129.7325001171655,2327.868422090092,0.6885653904005455
random_forest,no_wsi_solar,1594,2024-12-25 04:00:00,6.25,23.862477317821075,17.612477317821075,17.612477317821075,310.1993572707618,281.7996366342577,2025-11-27 21:44:00,,2,5,200,1129.7325001171655,2327.868422090092,0.6885653904005455
random_forest,no_wsi_solar,1595,2024-12-25 05:00:00,7.5,68.84726551226554,61.34726551226554,61.34726551226554,3763.486985832405,817.9635390729225,2025-11-27 21:44:00,,2,5,200,1129.7325001171655,2327.868422090092,0.6885653904005455
random_forest,no_wsi_solar,1596,2024-12-25 06:00:00,556.75,1670.6005175865807,1113.8505175865807,1113.8505175865807,1240662.9755278938,200.0629578027076,2025-11-27 21:44:00,,2,5,200,1129.7325001171655,2327.868422090092,0.6885653904005455
random_forest,no_wsi_solar,1597,2024-12-25 07:00:00,3507.25,5657.297079861114,2150.047079861114,2150.047079861114,4622702.445619304,61.30293192258846,2025-11-27 21:44:00,,2,5,200,1129.7325001171655,2327.868422090092,0.6885653904005455
random_forest,no_wsi_solar,1598,2024-12-25 08:00:00,7115.75,12768.585482142857,5652.835482142855,5652.835482142855,31954548.988173243,79.44117601285754,2025-11-27 21:44:00,,2,5,200,1129.7325001171655,2327.868422090092,0.6885653904005455
random_forest,no_wsi_solar,1599,2024-12-25 09:00:00,9833.75,7971.297584325394,-1862.4524156746056,1862.4524156746056,3468729.000652174,18.939391541097866,2025-11-27 21:44:00,,2,5,200,1129.7325001171655,2327.868422090092,0.6885653904005455
random_forest,no_wsi_solar,1600,2024-12-25 10:00:00,10556.75,10786.261118551583,229.51111855158524,229.51111855158524,52675.35353879981,2.1740698467934525,2025-11-27 21:44:00,,2,5,200,1129.7325001171655,2327.868422090092,0.6885653904005455
random_forest,no_wsi_solar,1601,2024-12-25 11:00:00,9173.25,8053.327288690477,-1119.922711309523,1119.922711309523,1254226.8793068733,12.208570695318476,2025-11-27 21:44:00,,2,5,200,1129.7325001171655,2327.868422090092,0.6885653904005455
random_forest,no_wsi_solar,1602,2024-12-25 12:00:00,5979.0,8053.825900432902,2074.825900432902,2074.825900432902,4304902.517107203,34.70188828281371,2025-11-27 21:44:00,,2,5,200,1129.7325001171655,2327.868422090092,0.6885653904005455
random_forest,no_wsi_solar,1603,2024-12-25 13:00:00,2056.5,3365.0145913149354,1308.5145913149354,1308.5145913149354,1712210.4356840923,63.62823201111464,2025-11-27 21:44:00,,2,5,200,1129.7325001171655,2327.868422090092,0.6885653904005455
random_forest,no_wsi_solar,1604,2024-12-25 14:00:00,87.0,844.7678015873016,757.7678015873016,757.7678015873016,574212.0411224521,870.9974729887379,2025-11-27 21:44:00,,2,5,200,1129.7325001171655,2327.868422090092,0.6885653904005455
random_forest,no_wsi_solar,1605,2024-12-25 15:00:00,13.0,75.1063413149351,62.10634131493509,62.10634131493509,3857.1976315272136,477.7410866704691,2025-11-27 21:44:00,,2,5,200,1129.7325001171655,2327.868422090092,0.6885653904005455
