model,experiment,sample_index,datetime,actual,predicted,residual,absolute_error,squared_error,percentage_error,timestamp,param_dropout_rate,param_hidden_dim,param_lr,param_n_layers,param_seq_len,info_mae,info_rmse,info_r2
mcd30,with_wsi_wind,435,2024-11-06 21:00:00,10660.5,1928.6019,-8731.898071289062,8731.898071289062,76246043.92738165,81.90889799991436,2025-11-27 21:39:23,0.2564749173546173,128,0.0046936151739957,2,48,16477.52390549572,20898.05745111911,-1.5829779347535498
mcd30,with_wsi_wind,436,2024-11-06 22:00:00,9716.25,1878.479,-7837.77099609375,7837.77099609375,61430654.187208414,80.66662545823422,2025-11-27 21:39:23,0.2564749173546173,128,0.0046936151739957,2,48,16477.52390549572,20898.05745111911,-1.5829779347535498
mcd30,with_wsi_wind,437,2024-11-06 23:00:00,9126.0,1907.6714,-7218.32861328125,7218.32861328125,52104267.96931481,79.09630301636358,2025-11-27 21:39:23,0.2564749173546173,128,0.0046936151739957,2,48,16477.52390549572,20898.05745111911,-1.5829779347535498
mcd30,with_wsi_wind,438,2024-11-07 00:00:00,8517.25,1897.4581,-6619.791870117188,6619.791870117188,43821644.40366961,77.72217405981291,2025-11-27 21:39:23,0.2564749173546173,128,0.0046936151739957,2,48,16477.52390549572,20898.05745111911,-1.5829779347535498
mcd30,with_wsi_wind,439,2024-11-07 01:00:00,8098.25,1889.3804,-6208.86962890625,6208.86962890625,38550062.06875444,76.66927581759742,2025-11-27 21:39:23,0.2564749173546173,128,0.0046936151739957,2,48,16477.52390549572,20898.05745111911,-1.5829779347535498
mcd30,with_wsi_wind,440,2024-11-07 02:00:00,7774.25,1913.6085,-5860.641479492188,5860.641479492188,34347118.55114438,75.385297353245,2025-11-27 21:39:23,0.2564749173546173,128,0.0046936151739957,2,48,16477.52390549572,20898.05745111911,-1.5829779347535498
mcd30,with_wsi_wind,441,2024-11-07 03:00:00,7500.5,1873.1274,-5627.37255859375,5627.37255859375,31667321.91321397,75.02663233899403,2025-11-27 21:39:23,0.2564749173546173,128,0.0046936151739957,2,48,16477.52390549572,20898.05745111911,-1.5829779347535498
mcd30,with_wsi_wind,442,2024-11-07 04:00:00,6848.25,1918.4192,-4929.830810546875,4929.830810546875,24303231.82061726,71.98672376942542,2025-11-27 21:39:23,0.2564749173546173,128,0.0046936151739957,2,48,16477.52390549572,20898.05745111911,-1.5829779347535498
mcd30,with_wsi_wind,443,2024-11-07 05:00:00,6079.5,1886.5944,-4192.9056396484375,4192.9056396484375,17580457.702995673,68.96793551511703,2025-11-27 21:39:23,0.2564749173546173,128,0.0046936151739957,2,48,16477.52390549572,20898.05745111911,-1.5829779347535498
mcd30,with_wsi_wind,444,2024-11-07 06:00:00,5289.5,1896.0922,-3393.4078369140625,3393.4078369140625,11515216.747629777,64.15365983377724,2025-11-27 21:39:23,0.2564749173546173,128,0.0046936151739957,2,48,16477.52390549572,20898.05745111911,-1.5829779347535498
mcd30,with_wsi_wind,445,2024-11-07 07:00:00,4499.25,1895.441,-2603.808959960937,2603.808959960937,6779821.099972859,57.87206667678281,2025-11-27 21:39:23,0.2564749173546173,128,0.0046936151739957,2,48,16477.52390549572,20898.05745111911,-1.5829779347535498
mcd30,with_wsi_wind,446,2024-11-07 08:00:00,3665.25,1895.4034,-1769.8465576171875,1769.8465576171875,3132356.8375094086,48.287198898093145,2025-11-27 21:39:23,0.2564749173546173,128,0.0046936151739957,2,48,16477.52390549572,20898.05745111911,-1.5829779347535498
mcd30,with_wsi_wind,447,2024-11-07 09:00:00,3076.75,1900.0955,-1176.654541015625,1176.654541015625,1384515.9088926911,38.243423775470895,2025-11-27 21:39:23,0.2564749173546173,128,0.0046936151739957,2,48,16477.52390549572,20898.05745111911,-1.5829779347535498
mcd30,with_wsi_wind,448,2024-11-07 10:00:00,2688.75,1885.2612,-803.48876953125,803.48876953125,645594.2027628422,29.88335730463084,2025-11-27 21:39:23,0.2564749173546173,128,0.0046936151739957,2,48,16477.52390549572,20898.05745111911,-1.5829779347535498
mcd30,with_wsi_wind,449,2024-11-07 11:00:00,2365.5,1853.4563,-512.043701171875,512.043701171875,262188.7519097924,21.646320066358506,2025-11-27 21:39:23,0.2564749173546173,128,0.0046936151739957,2,48,16477.52390549572,20898.05745111911,-1.5829779347535498
mcd30,with_wsi_wind,450,2024-11-07 12:00:00,2205.25,1927.2263,-278.023681640625,278.023681640625,77297.1675530076,12.607354342562717,2025-11-27 21:39:23,0.2564749173546173,128,0.0046936151739957,2,48,16477.52390549572,20898.05745111911,-1.5829779347535498
mcd30,with_wsi_wind,451,2024-11-07 13:00:00,2274.5,1863.6724,-410.82763671875,410.82763671875,168779.34709191322,18.06232740017339,2025-11-27 21:39:23,0.2564749173546173,128,0.0046936151739957,2,48,16477.52390549572,20898.05745111911,-1.5829779347535498
mcd30,with_wsi_wind,452,2024-11-07 14:00:00,2652.5,1879.2257,-773.2742919921875,773.2742919921875,597953.1306560189,29.15265945294146,2025-11-27 21:39:23,0.2564749173546173,128,0.0046936151739957,2,48,16477.52390549572,20898.05745111911,-1.5829779347535498
mcd30,with_wsi_wind,453,2024-11-07 15:00:00,3134.0,1916.3835,-1217.616455078125,1217.616455078125,1482589.8316770196,38.851833282522016,2025-11-27 21:39:23,0.2564749173546173,128,0.0046936151739957,2,48,16477.52390549572,20898.05745111911,-1.5829779347535498
mcd30,with_wsi_wind,454,2024-11-07 16:00:00,3306.0,1900.1648,-1405.835205078125,1405.835205078125,1976372.6238370535,42.52375090967552,2025-11-27 21:39:23,0.2564749173546173,128,0.0046936151739957,2,48,16477.52390549572,20898.05745111911,-1.5829779347535498
mcd30,with_wsi_wind,455,2024-11-07 17:00:00,3213.25,1894.0878,-1319.1622314453125,1319.1622314453125,1740188.9928717762,41.05383121267276,2025-11-27 21:39:23,0.2564749173546173,128,0.0046936151739957,2,48,16477.52390549572,20898.05745111911,-1.5829779347535498
