model,experiment,sample_index,datetime,actual,predicted,residual,absolute_error,squared_error,percentage_error,timestamp,param_cnn_filters,param_kernel_size,param_lr,param_lstm_hidden,param_n_layers,param_seq_len,info_mae,info_rmse,info_r2
cnn_lstm,no_wsi_wind,76,2024-10-22 22:00:00,13279.75,1800.9777,-11478.772338867188,11478.772338867188,131762214.40754248,86.43816592073303,2025-11-27 21:50:13,64,5,0.0094740964950443,128,1,48,16552.585982356733,20965.307111650774,-1.5996286573237102
cnn_lstm,no_wsi_wind,77,2024-10-22 23:00:00,12212.25,1800.9777,-10411.272338867188,10411.272338867188,108394591.71406104,85.25269576743565,2025-11-27 21:50:13,64,5,0.0094740964950443,128,1,48,16552.585982356733,20965.307111650774,-1.5996286573237102
cnn_lstm,no_wsi_wind,78,2024-10-23 00:00:00,11938.25,1800.9777,-10137.272338867188,10137.272338867188,102764290.47236182,84.91422393448534,2025-11-27 21:50:13,64,5,0.0094740964950443,128,1,48,16552.585982356733,20965.307111650774,-1.5996286573237102
cnn_lstm,no_wsi_wind,79,2024-10-23 01:00:00,11469.75,1800.9777,-9668.772338867188,9668.772338867188,93485158.54084326,84.2980216557358,2025-11-27 21:50:13,64,5,0.0094740964950443,128,1,48,16552.585982356733,20965.307111650774,-1.5996286573237102
cnn_lstm,no_wsi_wind,80,2024-10-23 02:00:00,11220.0,1800.9777,-9419.022338867188,9419.022338867188,88717981.8200791,83.94850569392864,2025-11-27 21:50:13,64,5,0.0094740964950443,128,1,48,16552.585982356733,20965.307111650774,-1.5996286573237102
cnn_lstm,no_wsi_wind,81,2024-10-23 03:00:00,11646.25,1800.9777,-9845.272338867188,9845.272338867188,96929387.42646338,84.53598659533097,2025-11-27 21:50:13,64,5,0.0094740964950443,128,1,48,16552.585982356733,20965.307111650774,-1.5996286573237102
cnn_lstm,no_wsi_wind,82,2024-10-23 04:00:00,11744.75,1800.9777,-9943.772338867188,9943.772338867188,98878608.32722022,84.66567903836795,2025-11-27 21:50:13,64,5,0.0094740964950443,128,1,48,16552.585982356733,20965.307111650774,-1.5996286573237102
cnn_lstm,no_wsi_wind,83,2024-10-23 05:00:00,11218.0,1800.9777,-9417.022338867188,9417.022338867188,88680309.73072363,83.94564395488315,2025-11-27 21:50:13,64,5,0.0094740964950443,128,1,48,16552.585982356733,20965.307111650774,-1.5996286573237102
cnn_lstm,no_wsi_wind,84,2024-10-23 06:00:00,9958.75,1800.9777,-8157.7723388671875,8157.7723388671875,66549249.53278662,81.91562534313036,2025-11-27 21:50:13,64,5,0.0094740964950443,128,1,48,16552.585982356733,20965.307111650774,-1.5996286573237102
cnn_lstm,no_wsi_wind,85,2024-10-23 07:00:00,7073.5,1800.9777,-5272.522338867188,5272.522338867188,27799491.81385352,74.53908728154003,2025-11-27 21:50:13,64,5,0.0094740964950443,128,1,48,16552.585982356733,20965.307111650774,-1.5996286573237102
cnn_lstm,no_wsi_wind,86,2024-10-23 08:00:00,4474.5,1800.9777,-2673.5223388671875,2673.5223388671875,7147721.696421877,59.750191951306576,2025-11-27 21:50:13,64,5,0.0094740964950443,128,1,48,16552.585982356733,20965.307111650774,-1.5996286573237102
cnn_lstm,no_wsi_wind,87,2024-10-23 09:00:00,3554.5,1800.9777,-1753.5223388671875,1753.5223388671875,3074840.5929062515,49.33246135496566,2025-11-27 21:50:13,64,5,0.0094740964950443,128,1,48,16552.585982356733,20965.307111650774,-1.5996286573237102
