file,output_file,attribute,rows,missing_replaced,outliers_removed,nan_imputed,mean_imputations,median_imputations
Data\Bundesland_aggregation\moisture_by_bundesland\Niedersachsen.csv,Preprocessed_Data\Bundesland_aggregation\moisture_by_bundesland\Niedersachsen.csv,moisture,422398,0,4441,4441,0,4441
Data\Bundesland_aggregation\moisture_by_bundesland\Nordrhein-Westfalen.csv,Preprocessed_Data\Bundesland_aggregation\moisture_by_bundesland\Nordrhein-Westfalen.csv,moisture,370675,0,1519,1519,0,1519
Data\Bundesland_aggregation\moisture_by_bundesland\Rheinland-Pfalz.csv,Preprocessed_Data\Bundesland_aggregation\moisture_by_bundesland\Rheinland-Pfalz.csv,moisture,221794,0,1385,1385,0,1385
Data\Bundesland_aggregation\moisture_by_bundesland\Saarland.csv,Preprocessed_Data\Bundesland_aggregation\moisture_by_bundesland\Saarland.csv,moisture,58666,0,255,255,0,255
Data\Bundesland_aggregation\moisture_by_bundesland\Sachsen-Anhalt.csv,Preprocessed_Data\Bundesland_aggregation\moisture_by_bundesland\Sachsen-Anhalt.csv,moisture,204311,0,1373,1373,0,1373
Data\Bundesland_aggregation\moisture_by_bundesland\Sachsen.csv,Preprocessed_Data\Bundesland_aggregation\moisture_by_bundesland\Sachsen.csv,moisture,234054,0,495,495,0,495
Data\Bundesland_aggregation\moisture_by_bundesland\Schleswig-Holstein.csv,Preprocessed_Data\Bundesland_aggregation\moisture_by_bundesland\Schleswig-Holstein.csv,moisture,229663,0,3271,3271,0,3271
Data\Bundesland_aggregation\moisture_by_bundesland\Thueringen.csv,Preprocessed_Data\Bundesland_aggregation\moisture_by_bundesland\Thueringen.csv,moisture,239152,0,1674,1674,0,1674
Data\Bundesland_aggregation\pressure_by_bundesland\Baden-Wuerttemberg.csv,Preprocessed_Data\Bundesland_aggregation\pressure_by_bundesland\Baden-Wuerttemberg.csv,pressure,175673,0,2183,37691,0,37691
Data\Bundesland_aggregation\pressure_by_bundesland\Bayern.csv,Preprocessed_Data\Bundesland_aggregation\pressure_by_bundesland\Bayern.csv,pressure,333551,0,3820,58148,0,58148
Data\Bundesland_aggregation\pressure_by_bundesland\Berlin.csv,Preprocessed_Data\Bundesland_aggregation\pressure_by_bundesland\Berlin.csv,pressure,17568,0,185,189,0,189
Data\Bundesland_aggregation\pressure_by_bundesland\Brandenburg.csv,Preprocessed_Data\Bundesland_aggregation\pressure_by_bundesland\Brandenburg.csv,pressure,114179,0,1250,1591,0,1591
Data\Bundesland_aggregation\pressure_by_bundesland\Bremen.csv,Preprocessed_Data\Bundesland_aggregation\pressure_by_bundesland\Bremen.csv,pressure,17568,0,128,320,0,320
Data\Bundesland_aggregation\pressure_by_bundesland\Hamburg.csv,Preprocessed_Data\Bundesland_aggregation\pressure_by_bundesland\Hamburg.csv,pressure,24200,0,229,251,0,251
Data\Bundesland_aggregation\pressure_by_bundesland\Hessen.csv,Preprocessed_Data\Bundesland_aggregation\pressure_by_bundesland\Hessen.csv,pressure,105407,0,1275,19278,0,19278
Data\Bundesland_aggregation\pressure_by_bundesland\Mecklenburg-Vorpommern.csv,Preprocessed_Data\Bundesland_aggregation\pressure_by_bundesland\Mecklenburg-Vorpommern.csv,pressure,140378,0,1436,2121,0,2121
Data\Bundesland_aggregation\pressure_by_bundesland\Niedersachsen.csv,Preprocessed_Data\Bundesland_aggregation\pressure_by_bundesland\Niedersachsen.csv,pressure,207345,0,1927,2882,0,2882
Data\Bundesland_aggregation\pressure_by_bundesland\Nordrhein-Westfalen.csv,Preprocessed_Data\Bundesland_aggregation\pressure_by_bundesland\Nordrhein-Westfalen.csv,pressure,140422,0,1870,11801,0,11801
Data\Bundesland_aggregation\pressure_by_bundesland\Rheinland-Pfalz.csv,Preprocessed_Data\Bundesland_aggregation\pressure_by_bundesland\Rheinland-Pfalz.csv,pressure,78975,0,1289,3380,0,3380
Data\Bundesland_aggregation\pressure_by_bundesland\Saarland.csv,Preprocessed_Data\Bundesland_aggregation\pressure_by_bundesland\Saarland.csv,pressure,26352,0,433,593,0,593
