file,attribute,rows,missing_replaced,outliers_flagged,duplicates,completeness,type_errors,timestamp_errors
Data\Bundesland_aggregation\sun_by_bundesland\Mecklenburg-Vorpommern.csv,sun,25568,0,7551,18980,100.0,[],[]
Data\Bundesland_aggregation\sun_by_bundesland\Niedersachsen.csv,sun,63627,0,17129,57038,100.0,[],[]
Data\Bundesland_aggregation\sun_by_bundesland\Nordrhein-Westfalen.csv,sun,66905,0,16459,60317,100.0,[],[]
Data\Bundesland_aggregation\sun_by_bundesland\Rheinland-Pfalz.csv,sun,29997,0,7881,23409,100.0,[],[]
Data\Bundesland_aggregation\sun_by_bundesland\Saarland.csv,sun,6507,0,1649,0,100.0,[],[]
Data\Bundesland_aggregation\sun_by_bundesland\Sachsen-Anhalt.csv,sun,28652,0,8518,22064,100.0,[],[]
Data\Bundesland_aggregation\sun_by_bundesland\Sachsen.csv,sun,49199,0,14573,42611,100.0,[],[]
Data\Bundesland_aggregation\sun_by_bundesland\Schleswig-Holstein.csv,sun,37131,0,10420,30543,100.0,[],[]
Data\Bundesland_aggregation\sun_by_bundesland\Thueringen.csv,sun,13168,0,3753,6580,100.0,[],[]
Data\Germany_aggregation\sun_germany\Germany_total.csv,sun,592472,0,164928,585878,100.0,[],[]
Data\Bundesland_aggregation\visibility_by_bundesland\Baden-Wuerttemberg.csv,visibility,175229,0,172085,166445,100.0,[],[]
Data\Bundesland_aggregation\visibility_by_bundesland\Bayern.csv,visibility,316922,0,311079,308138,100.0,[],[]
Data\Bundesland_aggregation\visibility_by_bundesland\Berlin.csv,visibility,17456,0,17433,8672,100.0,[],[]
Data\Bundesland_aggregation\visibility_by_bundesland\Brandenburg.csv,visibility,105019,0,104940,96235,100.0,[],[]
Data\Bundesland_aggregation\visibility_by_bundesland\Bremen.csv,visibility,17375,0,17364,8591,100.0,[],[]
Data\Bundesland_aggregation\visibility_by_bundesland\Hamburg.csv,visibility,24067,0,24034,15287,100.0,[],[]
Data\Bundesland_aggregation\visibility_by_bundesland\Hessen.csv,visibility,104817,0,101343,96033,100.0,[],[]
Data\Bundesland_aggregation\visibility_by_bundesland\Mecklenburg-Vorpommern.csv,visibility,130135,0,129992,121351,100.0,[],[]
Data\Bundesland_aggregation\visibility_by_bundesland\Niedersachsen.csv,visibility,188531,0,188131,179747,100.0,[],[]
Data\Bundesland_aggregation\visibility_by_bundesland\Nordrhein-Westfalen.csv,visibility,138640,0,137850,129856,100.0,[],[]
Data\Bundesland_aggregation\visibility_by_bundesland\Rheinland-Pfalz.csv,visibility,64210,0,63407,55426,100.0,[],[]
Data\Bundesland_aggregation\visibility_by_bundesland\Saarland.csv,visibility,26147,0,25936,17363,100.0,[],[]
Data\Bundesland_aggregation\visibility_by_bundesland\Sachsen-Anhalt.csv,visibility,83066,0,79639,74282,100.0,[],[]
Data\Bundesland_aggregation\visibility_by_bundesland\Sachsen.csv,visibility,108383,0,106789,99599,100.0,[],[]
Data\Bundesland_aggregation\visibility_by_bundesland\Schleswig-Holstein.csv,visibility,138606,0,138510,129822,100.0,[],[]
Data\Bundesland_aggregation\visibility_by_bundesland\Thueringen.csv,visibility,78925,0,77740,70141,100.0,[],[]
Data\Germany_aggregation\visibility_germany\Germany_total.csv,visibility,1717528,0,1696272,1708744,100.0,[],[]
Data\Bundesland_aggregation\wind_by_bundesland\Baden-Wuerttemberg.csv,wind,210073,74,9448,201289,99.99,[],[]
Data\Bundesland_aggregation\wind_by_bundesland\Bayern.csv,wind,364566,113,14250,355782,99.99,[],[]
Data\Bundesland_aggregation\wind_by_bundesland\Berlin.csv,wind,8780,1,142,0,100.0,[],[]
Data\Bundesland_aggregation\wind_by_bundesland\Brandenburg.csv,wind,148556,29,3207,139772,99.99,[],[]
Data\Bundesland_aggregation\wind_by_bundesland\Bremen.csv,wind,17378,3,334,8594,99.99,[],[]
Data\Bundesland_aggregation\wind_by_bundesland\Hamburg.csv,wind,24142,17,278,15358,99.98,[],[]
Data\Bundesland_aggregation\wind_by_bundesland\Hessen.csv,wind,104604,33,3416,95820,99.99,[],[]
Data\Bundesland_aggregation\wind_by_bundesland\Mecklenburg-Vorpommern.csv,wind,147402,36,5140,138618,99.99,[],[]
Data\Bundesland_aggregation\wind_by_bundesland\Niedersachsen.csv,wind,196176,154,5765,187392,99.97,[],[]
Data\Bundesland_aggregation\wind_by_bundesland\Nordrhein-Westfalen.csv,wind,148219,46,3360,139435,99.99,[],[]
Data\Bundesland_aggregation\wind_by_bundesland\Rheinland-Pfalz.csv,wind,78434,12,2456,69650,99.99,[],[]
Data\Bundesland_aggregation\wind_by_bundesland\Saarland.csv,wind,26182,8,579,17398,99.99,[],[]
Data\Bundesland_aggregation\wind_by_bundesland\Sachsen-Anhalt.csv,wind,113472,171,6442,104688,99.95,[],[]
Data\Bundesland_aggregation\wind_by_bundesland\Sachsen.csv,wind,140141,9,5649,131357,100.0,[],[]
Data\Bundesland_aggregation\wind_by_bundesland\Schleswig-Holstein.csv,wind,148714,62,4518,139930,99.99,[],[]
Data\Bundesland_aggregation\wind_by_bundesland\Thueringen.csv,wind,87575,7,1918,78791,100.0,[],[]
Data\Germany_aggregation\wind_germany\Germany_total.csv,wind,1964414,775,74444,1955630,99.99,[],[]
