datetime,actual,arimax_prediction,arimax_error,arimax_squared_error,sarimax_prediction,sarimax_error,sarimax_squared_error
2024-11-10 20:00:00,10.5,10685.139327947982,-10674.639327947982,113947924.78177373,-618.7277714806166,629.2277714806166,395927.5884024631
2024-11-10 21:00:00,10.0,10780.29142611241,-10770.29142611241,115999177.40339048,-570.0435618823556,580.0435618823556,336450.53368117
2024-11-10 22:00:00,11.25,11212.863111266866,-11201.613111266866,125476136.29450576,-542.4380847564698,553.6880847564698,306570.49520128773
2024-11-10 23:00:00,10.5,11519.938280800823,-11509.438280800823,132467169.5395634,-535.3562674357914,545.8562674357914,297959.06469893426
2024-11-11 00:00:00,11.0,12778.969774824101,-12767.969774824101,163021052.17082182,-394.69196662550803,405.69196662550803,164585.97178447232
2024-11-11 01:00:00,10.25,14671.686001753435,-14661.436001753435,214957705.63351172,-215.29980125035263,225.54980125035263,50872.712844073576
2024-11-11 02:00:00,9.5,16046.391111082397,-16036.891111082397,257181876.5087136,-269.9802922654693,279.4802922654693,78109.23376479214
2024-11-11 03:00:00,11.0,17843.343460515607,-17832.343460515607,317992473.29379374,-256.7520657430438,267.7520657430438,71691.16870966724
2024-11-11 04:00:00,9.5,19847.282683210447,-19837.782683210447,393537621.7862843,-301.927782625645,311.427782625645,96987.26379112601
2024-11-11 05:00:00,10.5,22258.345156282187,-22247.845156282187,494966614.09790874,17.805463417204237,-7.305463417204237,53.36979574010941
2024-11-11 06:00:00,64.25,23254.701311140787,-23190.451311140787,537797032.0143914,2692.6159689074675,-2628.3659689074675,6908307.66651089
2024-11-11 07:00:00,906.75,25836.43962759571,-24929.68962759571,621489424.9282532,7983.173682972476,-7076.423682972476,50075772.14093374
2024-11-11 08:00:00,2474.25,27203.277631882578,-24729.027631882578,611524807.618412,13283.27838570403,-10809.02838570403,116835094.64295548
2024-11-11 09:00:00,3973.5,27627.906869818922,-23654.406869818922,559530964.3629366,16789.66889537572,-12816.168895375718,164254185.15479606
2024-11-11 10:00:00,5221.5,26971.504466763698,-21750.004466763698,473062694.3042408,17948.275166736224,-12726.775166736224,161970806.14465386
2024-11-11 11:00:00,5462.75,25738.49323760299,-20275.74323760299,411105763.8372034,16861.64792723031,-11398.897927230311,129934873.95541549
2024-11-11 12:00:00,4747.5,23662.134880456142,-18914.634880456142,357763412.6609681,13761.936472136453,-9014.436472136453,81260064.91018389
2024-11-11 13:00:00,3299.25,21777.19938929798,-18477.94938929798,341434613.6334576,9576.22760981522,-6276.97760981522,39400447.91412159
2024-11-11 14:00:00,1317.5,18732.80872790655,-17415.30872790655,303292978.0882981,4453.388294908956,-3135.8882949089557,9833795.398146998
2024-11-11 15:00:00,161.5,16286.100874307565,-16124.600874307565,260002753.3557203,-137.8384250915047,299.3384250915047,89603.49273626237
2024-11-11 16:00:00,24.75,13824.682017202955,-13799.932017202955,190438123.6794232,-1943.0313636122812,1967.7813636122812,3872163.494979809
2024-11-11 17:00:00,25.25,11550.169716360047,-11524.919716360047,132823774.46854456,-1418.87950980268,1444.12950980268,2085510.0410829291
